G,SR,I,SC,num_replicas,PEC_consultas_media,PEC_consultas_desv,PEC_consultas_ic_inf,PEC_consultas_ic_sup,PEC_partos_nat_media,PEC_partos_nat_desv,PEC_partos_nat_ic_inf,PEC_partos_nat_ic_sup,PEC_partos_ces_media,PEC_partos_ces_desv,PEC_partos_ces_ic_inf,PEC_partos_ces_ic_sup,PEC_general_media,PEC_general_desv,PEC_general_ic_inf,PEC_general_ic_sup,UT_med_media,UT_med_desv,UT_med_ic_inf,UT_med_ic_sup,UT_Q_media,UT_Q_desv,UT_Q_ic_inf,UT_Q_ic_sup,PTOSR_promedio_media,PTOSR_promedio_desv,PTOSR_promedio_ic_inf,PTOSR_promedio_ic_sup,PPDSR_media,PPDSR_desv,PPDSR_ic_inf,PPDSR_ic_sup,PPDINC_media,PPDINC_desv,PPDINC_ic_inf,PPDINC_ic_sup,CTM_media,CTM_desv,CTM_ic_inf,CTM_ic_sup,CII_media,CII_desv,CII_ic_inf,CII_ic_sup
2,15,10,2,5,1.4255913023961941,0.0196036211214795,1.401250191815226,1.4499324129771622,19.6107992099493,0.437278937501044,19.06784569608146,20.15375272381714,35.05943444252809,0.8045199591576753,34.060490973405635,36.05837791165054,8.84705747293414,0.21604285649132032,8.578804835959764,9.115310109908515,23.870421845184477,0.22533700104918095,23.590629003518504,24.15021468685045,30.883289449772615,0.40000089263413474,30.38662274213944,31.37995615740579,6.403389737254057,0.015802289693936163,6.38376860305191,6.423010871456204,5.60177260183424,0.27182970297316056,5.264251446010043,5.939293757658437,0.08850426746990162,0.06162731924720224,0.011983843854840553,0.16502469108496268,5682952801.871422,59873420.34540655,5608610131.3792095,5757295472.363634,0.0,0.0,0.0,0.0
2,15,15,2,5,1.4093338115692071,0.017565042997534763,1.387523930052267,1.4311436930861472,19.601357174827285,0.15853521715842167,19.404509703234258,19.798204646420313,35.02860659880905,0.7705691264952689,34.07181865631255,35.985394541305546,8.866626199316709,0.13415076374530402,8.700056025642626,9.033196372990792,23.72239750969394,0.2193505538427627,23.450037824001328,23.994757195386555,30.735802630931595,0.3915806154374979,30.24959107834838,31.22201418351481,6.413928868414715,0.016787469594930726,6.393084471797748,6.434773265031681,5.525465430471697,0.2535184125741055,5.210680744696661,5.840250116246733,0.0,0.0,0.0,0.0,5658303159.299609,58446144.74182016,5585732685.539885,5730873633.059334,0.0,0.0,0.0,0.0
2,15,20,2,5,1.4144872044926209,0.03925595075641973,1.3657445037231146,1.4632299052621272,19.596244336149745,0.402746704669205,19.096168252566788,20.096320419732702,35.793343329351345,0.7401788710535129,34.87428987293309,36.7123967857696,8.98535235618453,0.16605841096870713,8.77916360568576,9.1915411066833,23.79969917343731,0.2514867684192378,23.487437107066537,24.111961239808085,30.858399026689796,0.4076072283283662,30.35228780586684,31.36451024751275,6.411685586316002,0.019759567135741524,6.387150843183462,6.436220329448543,5.539428313795117,0.35096840908479066,5.103643475727681,5.975213151862553,0.0,0.0,0.0,0.0,5678430575.718036,64496715.835941546,5598347325.6621685,5758513825.773903,6000000.0,0.0,6000000.0,6000000.0
2,24,10,2,5,1.4105861486047238,0.02857297521634302,1.3751081139570223,1.4460641832524253,19.67082276495845,0.4783799856762564,19.076835559283012,20.26480997063389,35.673293156494616,0.6671894787874526,34.8448680007039,36.501718312285334,8.95742177466059,0.15428954430853212,8.76584600219342,9.14899754712776,23.874542023960096,0.23484817471527802,23.582939500372266,24.166144547547926,30.937828834268526,0.2891218107435894,30.57883669077273,31.296820977764323,4.199383095551241,0.0003473654921403211,4.198951784325432,4.199814406777049,0.047725076177708325,0.01859636067117123,0.02463464463470258,0.07081550772071407,0.15770321629679024,0.04941040194003602,0.09635209907106998,0.2190543335225105,5819168340.393035,50790919.93028128,5756103083.679955,5882233597.106115,0.0,0.0,0.0,0.0
2,24,15,2,5,1.4007679463159892,0.02011892803519057,1.3757869976922406,1.4257488949397379,19.62568037800876,0.24608602117296688,19.320124225057075,19.931236530960444,35.04569554167936,0.6726140176160729,34.210534931318286,35.88085615204043,8.84077180228125,0.07687263684334798,8.745321816665871,8.936221787896628,23.7382835770978,0.24845563481222752,23.429785160200595,24.046781993995005,30.72454364412844,0.3863066633006343,30.24488056804182,31.20420672021506,4.199048434055268,0.0004918381572870932,4.198437736322421,4.199659131788114,0.06364753875383561,0.014413208919232449,0.04575117614023526,0.08154390136743596,0.0,0.0,0.0,0.0,5784990415.926604,72971638.51981083,5694384159.486616,5875596672.366592,0.0,0.0,0.0,0.0
2,24,20,2,5,1.4106263058659834,0.027994260830977107,1.3758668400358331,1.4453857716961336,19.665856425015864,0.4745908073761646,19.076574105618423,20.255138744413305,35.43495584804829,0.6301401447003894,34.6525335165509,36.217378179545676,8.905719204270806,0.17174087186472695,8.692474746656249,9.118963661885363,23.6809094453915,0.16932524510422592,23.470664384558553,23.891154506224446,30.64613799522126,0.29882484820805844,30.27509793943261,31.01717805100991,4.198714974399527,0.001529294908295442,4.19681610396926,4.200613844829794,0.04801926666985485,0.021110795687939356,0.021806751690705235,0.07423178164900446,0.0,0.0,0.0,0.0,5779459008.928604,53602627.27745881,5712902556.429049,5846015461.42816,6000000.0,0.0,6000000.0,6000000.0
2,30,10,2,5,1.4121493742937423,0.02274312941909527,1.3839100492875627,1.440388699299922,19.742013787267258,0.2601032807000723,19.419052907807288,20.064974666727228,35.6009917716287,1.698101364944907,33.49252044147593,37.709463101781466,8.940559392001502,0.24306788223598397,8.638750753509449,9.242368030493555,23.905036178202153,0.1699051874282396,23.694071023864446,24.11600133253986,30.936509078252943,0.29117180980255214,30.57497152472928,31.298046631776607,3.360882329930053,7.379208707334078e-05,3.360790704952182,3.3609739549079243,0.0,0.0,0.0,0.0,0.11177665263045691,0.13951159564145008,-0.061449873009493144,0.285003178270407,5825308251.506135,49059617.765875794,5764392690.360609,5886223812.651661,42000000.0,0.0,42000000.0,42000000.0
2,30,15,2,5,1.4108966267452943,0.022844050709640948,1.382531991405992,1.4392612620845966,19.605155923181094,0.21515130942838798,19.338010288097465,19.872301558264724,35.21870940343857,0.8663864097803662,34.14294858988127,36.29447021699586,8.878315717423735,0.1612311082068461,8.678120854972798,9.078510579874672,23.82748085714463,0.28816362657139893,23.469678456439087,24.18528325785017,30.853884689593183,0.3140973340094322,30.46388133802189,31.243888041164478,3.3609058721526153,6.758194935921345e-05,3.3608219580791676,3.360989786226063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5807443265.758155,53867330.39345644,5740558140.929253,5874328390.587057,42000000.0,0.0,42000000.0,42000000.0
2,30,20,2,5,1.4244249669811573,0.036487396342804415,1.3791198805541052,1.4697300534082094,19.504424425553175,0.14734389803438971,19.321472812008867,19.687376039097483,35.51193563733438,0.7018700552540128,34.64044885830818,36.38342241636058,8.917895170928952,0.1242863063996198,8.763573338802821,9.072217003055083,23.902421736464667,0.18705717733567587,23.670159573761342,24.134683899167992,30.961776350685444,0.21831155077298758,30.690706757698592,31.232845943672295,3.3609355735536797,5.859227754107452e-05,3.360862821632084,3.361008325475275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5829906288.571962,41336545.30719395,5778580188.4539,5881232388.690024,48000000.0,0.0,48000000.0,48000000.0
2,15,10,3,5,1.4087760398430906,0.046970814840909564,1.350454070088838,1.4670980095973432,19.60641829795436,0.2971337177385806,19.237478057985925,19.975358537922794,35.80438051968906,0.7338087447315728,34.89323661978877,36.71552441958935,8.974136059028316,0.13943568381710297,8.801003790367696,9.147268327688936,23.857027485647397,0.24021031472070306,23.558766985861503,24.15528798543329,30.910784292848064,0.3418906219642498,30.486271016231562,31.335297569464565,6.405888310199648,0.013844837089209402,6.38869767442498,6.423078945974316,5.588406156144549,0.2092115947921681,5.328635650884319,5.8481766614047785,0.09637513747172262,0.06042635857616303,0.021345903485149573,0.17140437145829568,5685739143.075335,53608456.23374557,5619175452.970611,5752302833.1800585,0.0,0.0,0.0,0.0
